,geoid,date,value
75,4830,2011-09-15,1
75,1304,2011-09-15,1
75,2509,2011-09-15,1
75,3910,2011-09-15,1
75,1305,2011-09-15,1
75,0619,2011-09-15,1
75,0606,2011-09-15,1
75,2502,2011-09-15,1
75,3605,2011-09-15,1
75,5504,2011-09-15,1
75,0632,2011-09-15,1
75,False,2011-09-15,1
75,2501,2011-09-15,1
75,0407,2011-09-15,1
75,3410,2011-09-15,1
75,7200,2011-09-15,1
75,3613,2011-09-15,1
75,4816,2011-09-15,1
75,0637,2011-09-15,1
75,2202,2011-09-15,1
75,0640,2011-09-15,1
75,1701,2011-09-15,1
75,6900,2011-09-15,1
75,0638,2011-09-15,1
75,1709,2011-09-15,1
75,1313,2011-09-15,1
75,5103,2011-09-15,1
75,3615,2011-09-15,1
75,3408,2011-09-15,1
75,3625,2011-09-15,1
75,0614,2011-09-15,1
75,0613,2011-09-15,1
75,2802,2011-09-15,1
75,3620,2011-09-15,1
75,3610,2011-09-15,1
75,0643,2011-09-15,1
75,3712,2011-09-15,1
75,5000,2011-09-15,1
75,1224,2011-09-15,1
75,0606,2011-09-15,1
77,3613,2011-04-08,1
77,0637,2011-04-08,1
77,4201,2011-04-08,1
77,1205,2011-04-08,1
77,3701,2011-04-08,1
77,1807,2011-04-08,1
77,1214,2011-04-08,1
77,7800,2011-04-08,1
77,2613,2011-04-08,1
77,3609,2011-04-08,1
77,2901,2011-04-08,1
77,2905,2011-04-08,1
77,4709,2011-04-08,1
77,2613,2011-04-08,1
77,2407,2011-04-08,1
77,2705,2011-04-08,1
77,3616,2011-04-08,1
77,3911,2011-04-08,1
77,4820,2011-04-08,1
77,4809,2011-04-08,1
77,1220,2011-04-08,1
77,3622,2011-04-08,1
77,4818,2011-04-08,1
77,1702,2011-04-08,1
77,4830,2011-04-08,1
77,1304,2011-04-08,1
77,3602,2011-04-08,1
77,3910,2011-04-08,1
77,0613,2011-04-08,1
77,1305,2011-04-08,1
77,3612,2011-04-08,1
77,3604,2011-04-08,1
77,5307,2011-04-08,1
77,3605,2011-04-08,1
77,5108,2011-04-08,1
77,False,2011-04-08,1
77,2501,2011-04-08,1
77,3410,2011-04-08,1
77,0637,2011-04-08,1
77,1701,2011-04-08,1
77,1709,2011-04-08,1
77,3615,2011-04-08,1
77,3625,2011-04-08,1
77,0613,2011-04-08,1
77,3610,2011-04-08,1
77,0643,2011-04-08,1
77,1224,2011-04-08,1
78,False,2011-11-03,1
80,False,2011-12-13,1
80,False,2011-12-13,1
80,False,2011-12-13,1
80,False,2011-12-13,1
80,False,2011-12-13,1
80,False,2011-12-13,1
80,False,2011-12-13,1
84,False,2012-03-29,1
84,False,2012-03-29,1
85,False,2012-03-29,1
85,False,2012-03-29,1
85,False,2012-03-29,1
90,False,2011-05-09,1
90,3620,2011-05-09,1
90,False,2011-05-09,1
